Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=12, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=28, rank=32, groups=8, gate_mode='pam', val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
The length of train set is: 2211
DDP: 1 GPU(s), world_size=1
185 iterations per epoch. 55500 max iterations 
epoch 87/300  loss: 0.0635  loss_ce: 0.0094  lr: 0.007348  elapsed: 3.33h
epoch 88/300  loss: 0.0581  loss_ce: 0.0098  lr: 0.007316  elapsed: 3.37h
epoch 89/300  loss: 0.0629  loss_ce: 0.0101  lr: 0.007285  elapsed: 3.40h
epoch 90/300  loss: 0.0597  loss_ce: 0.0097  lr: 0.007254  elapsed: 3.44h
epoch 90 val_dice: 0.7924  best: 0.7991
epoch 91/300  loss: 0.0534  loss_ce: 0.0094  lr: 0.007223  elapsed: 3.48h
epoch 92/300  loss: 0.0560  loss_ce: 0.0092  lr: 0.007192  elapsed: 3.52h
epoch 93/300  loss: 0.0571  loss_ce: 0.0093  lr: 0.007161  elapsed: 3.56h
epoch 94/300  loss: 0.0509  loss_ce: 0.0091  lr: 0.007130  elapsed: 3.59h
epoch 95/300  loss: 0.0558  loss_ce: 0.0093  lr: 0.007099  elapsed: 3.63h
epoch 96/300  loss: 0.0580  loss_ce: 0.0097  lr: 0.007068  elapsed: 3.67h
epoch 97/300  loss: 0.0561  loss_ce: 0.0093  lr: 0.007036  elapsed: 3.71h
epoch 98/300  loss: 0.0610  loss_ce: 0.0098  lr: 0.007005  elapsed: 3.75h
epoch 99/300  loss: 0.0553  loss_ce: 0.0094  lr: 0.006974  elapsed: 3.79h
epoch 100/300  loss: 0.0540  loss_ce: 0.0089  lr: 0.006943  elapsed: 3.82h
epoch 101/300  loss: 0.0579  loss_ce: 0.0122  lr: 0.006911  elapsed: 3.86h
epoch 102/300  loss: 0.0792  loss_ce: 0.0170  lr: 0.006880  elapsed: 3.90h
epoch 103/300  loss: 0.0909  loss_ce: 0.0198  lr: 0.006849  elapsed: 3.94h
epoch 104/300  loss: 0.0741  loss_ce: 0.0156  lr: 0.006818  elapsed: 3.98h
epoch 105/300  loss: 0.0611  loss_ce: 0.0132  lr: 0.006786  elapsed: 4.02h
epoch 105 val_dice: 0.7792  best: 0.7991
epoch 106/300  loss: 0.0592  loss_ce: 0.0136  lr: 0.006755  elapsed: 4.05h
epoch 107/300  loss: 0.0808  loss_ce: 0.0189  lr: 0.006724  elapsed: 4.09h
epoch 108/300  loss: 0.1120  loss_ce: 0.0277  lr: 0.006692  elapsed: 4.13h
epoch 109/300  loss: 0.0892  loss_ce: 0.0175  lr: 0.006661  elapsed: 4.17h
epoch 110/300  loss: 0.0815  loss_ce: 0.0158  lr: 0.006629  elapsed: 4.21h
