[22:13:12.335] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:13:12.344] 93 iterations per epoch. 27900 max iterations 
[22:15:17.707] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:15:17.714] 93 iterations per epoch. 27900 max iterations 
[01:32:33.866] epoch 56/300  loss: 0.0403  loss_ce: 0.0113  lr: 0.008303  elapsed: 2.15h
[01:34:52.318] epoch 57/300  loss: 0.0442  loss_ce: 0.0114  lr: 0.008273  elapsed: 2.19h
[01:37:10.101] epoch 58/300  loss: 0.0399  loss_ce: 0.0115  lr: 0.008242  elapsed: 2.23h
[01:39:28.370] epoch 59/300  loss: 0.0443  loss_ce: 0.0116  lr: 0.008212  elapsed: 2.26h
[01:41:46.375] epoch 60/300  loss: 0.0421  loss_ce: 0.0116  lr: 0.008181  elapsed: 2.30h
[02:04:51.397] epoch 60 val_dice: 0.7765  best: 0.7793
[02:07:08.090] epoch 61/300  loss: 0.0400  loss_ce: 0.0110  lr: 0.008150  elapsed: 2.34h
[02:09:26.420] epoch 62/300  loss: 0.0404  loss_ce: 0.0111  lr: 0.008119  elapsed: 2.38h
[02:11:44.789] epoch 63/300  loss: 0.0388  loss_ce: 0.0111  lr: 0.008089  elapsed: 2.42h
[02:14:03.213] epoch 64/300  loss: 0.0375  loss_ce: 0.0110  lr: 0.008058  elapsed: 2.46h
[02:16:21.297] epoch 65/300  loss: 0.0433  loss_ce: 0.0118  lr: 0.008027  elapsed: 2.49h
[02:18:39.448] epoch 66/300  loss: 0.0404  loss_ce: 0.0109  lr: 0.007997  elapsed: 2.53h
[02:20:56.903] epoch 67/300  loss: 0.0423  loss_ce: 0.0105  lr: 0.007966  elapsed: 2.57h
[02:23:15.105] epoch 68/300  loss: 0.0443  loss_ce: 0.0114  lr: 0.007935  elapsed: 2.61h
[02:25:33.416] epoch 69/300  loss: 0.0412  loss_ce: 0.0106  lr: 0.007904  elapsed: 2.65h
[02:27:51.741] epoch 70/300  loss: 0.0408  loss_ce: 0.0101  lr: 0.007873  elapsed: 2.69h
[02:30:10.069] epoch 71/300  loss: 0.0460  loss_ce: 0.0106  lr: 0.007843  elapsed: 2.72h
[02:32:27.771] epoch 72/300  loss: 0.0392  loss_ce: 0.0107  lr: 0.007812  elapsed: 2.76h
[02:34:45.540] epoch 73/300  loss: 0.0373  loss_ce: 0.0104  lr: 0.007781  elapsed: 2.80h
